央视频道,#genre#
更新日期: 2026-8-23 05:55:00,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV3综艺,https://tx-origin.pull.yximgs.com/gifshow/kwai_actL_ol_act_14896481735_strL_GameAvcFhdL0.flv?txSecret=5b5777aeb7f941f22a95f0d05094971e&txTime=6a8a6a36&stat=AA%2BXx9hUQsLCptEXbEHrtYg%2BJCJaWGo%2FY1yTY0EvmrkM4b7trowwnpbmKVG2Ycts&tsc=origin&highTraffic=2&oidc=watchmen&sidc=2062&no_script=1&srcStrm=GmPgzpiDX8A&ss=s20&tfc_buyer=0
CCTV4中文国际,http://txycdn.video.qq.com/1755787503.m3u8?time=1787369536&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgILtlQc45hCU_CuSt6pDcDUN5dWY7llV5StxeKbb0fTvkECHZ_ur-UUO0NiqoOrWCFAUBcJuoIKQ52uKqnT95gJ_whFiP4sVmwofDNMT8If297NJe62Kpnq3ESXoxaZU0n2yROXb4OcMjxpQTwBF5bTuk_13C__C4MkXsIKC3n9RJkc5AAYnKgVMZJ7IezrS-nuFqWJqR6iMOMVoW31wyAtRk7fjP7iLExAT2nl-JyHQehpm_IA9kFvJLWX78nMyHExjVopp0lbLW70WLCo6I6zev2SiAilDCa5evSg4EGaFn4CKRCzb4TSKGf3xPjAQuA9WDQV3gWkI8Kk8dIu6KcOrylOnr4RAqN_HMSJo-at71t8KaDUpSogeKR9iPARzLdOhJexdZ0tHqfVaNUIDPVbywJ1q_fRcViGH-I9gpDTsHYduKxhKALKU2gx7YkfgUYQ8gWWsq9nbUn9KPa7CBNqFRhzA67EskhRaCQcEE8c0K9hcqzBzG5avZBVxwmeF-HFKCVK1m5SxMBh16sArSzFgYcNlsQN4M9TUy5xV_PpDvTEsY&drmtype=0
CCTV5体育,http://txycdn.video.qq.com/1369718503.m3u8?time=1787369464&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIHD0qXH6zBvYqYIh9PjQKWcOAqQc-Hk2s4bbdTW6XnUdEOXsznuxbAH6_w8Py5bPkz0BcJjHsoeTWdfdBX_bhoxZXLgd0q2W-Bd0rh8oii9gTFqKOD_0-kDYxqHmeO4LKIgQSDiz4fiZVGYhjzSac31LL8NIZ3L_bWb3ZUeH-QKz30Ki8SYftjqZwkPDDBvKySFOBml2eepo-95pFjHmwIDP713Hda4byt5_PIEvznbslixYA0mfpd9A4sE6K2VXO1ewSvjYCrEFNAhdT7tY2_5ZzC0t4RtLMivn1kUrXvAAdT_Z9XtvTc0J_AabchF-tqhnia8mninpWV2vttkukYGE8HhU5qUM9T154m_YW4Dh4LbuTn7OpAb9xGaCFE13evvCticsRpklJSx7jwrPJ8VHhRNkb5xvQLrlOmENQu3isHl4VLbNKe87keW6zGBtpsqAyfdNsBfYKe-BvHSgqOxyT1KbYmFqodUJVcQoCgRAa9YfASXWQkiU1Tf3Y8Xi52nZ_Y1xLP9DuAyzvyGb5i7Lq5pzoLUYBIkuMaFsfgMfNN1e&drmtype=0
CCTV6电影,http://txycdn.video.qq.com/1755771403.m3u8?time=1787369402&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIHZ82zBGZzs_o-Q6PQdzUeSmjksRiRo7OdatO1KHoFjiEIUHJ6rcO_cvd02mJQY7dqsBcKmzkGQg_deELBQ3n-fZzFu-lZp_mnf7I6XxYym2TVt746lg4j2HNXL2HqmOootIxJaNwyZNfeyOUmmiXY4ohGgLtk_UO3ZW6gqUs5EZ5EQ_4k7Ftle9t4Maqwk6dtFyfM5aF2XayHXwbHhr0ruxTcAcp-FqOfOAyEH1ByMIllXoFsqRipmr8TsFMVLuMReA2qRceLrytNU45xvgcWW5-FBeA3VLAsTZip4y_o_4iGhNh7-UgWGTZQoGQ2_g6voBLsO7TVQwmHTFvR0hnC5nkg2w7nH-KpPu2fWlDFDFWcyte70tVNfOEJw78RAgGZItRZQkpDQsyM3EKR3F5UEDBrwB71S_m0UPNkdjpKbG1v9bAUZyI3S2Gk6SMrFgXm1sfQJJ9PaGuhTI7C3cOUIg7dM2W6l-5XQsoH218hRL_Ttlvk0IdlWFLjyozpix6BkfWFTYkVpYFaCQXWiTMIARopH-BqGIMjViFWG3kx1HQwYp&drmtype=0
CCTV7国防军事,http://txycdn.video.qq.com/1370436303.m3u8?time=1787369325&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIEmjYIgQflSUGf0ZXO7VEQ5CUqOyHjrz5k22Boz0KHAuEBwDod8Nqe2ncnYgUhF5z8EBcKEQItIRum0K15o69t1G-C6RurApkXNU8HvkksV02avxIgMCIrzvjc-WoBD3pgr1xCxhTTtSb4Gp_wA4Cf5bMNdAQeQGg9IgiM9oi1t_p9dKzMKCyGn77c_P_2zrTJ-FEKfm2qPh5OgRjxJqKxLHEGGX0uR7fh9q9JTiLV6iZhwhYXEqkV062-czMwgvoCN8F4up_3VYvsZie-nPy1K2jO-yn6jLq3pDLLPlZfevqZA7CM_YiqaIGK8NPeId_qdfs3Z2Od6E1X1Dd7AM5HZaA8vSIqleexdXpaZKgHs-5015ihPnAIaiDnto60siy1k5Blr-5dsCHwTadqAa9KQn06qzRJxOxST5xp7cxWFoedvSYXva6rlb4kpkCTfE6l2rv2cR1awYtmMYNHfOJx4KHuUq_IXo6eavhXJxVPb92bKpTQ87g0baC2RLiz93c-DyMgK0EkV6O134HS0fTndOzq5_zdmL7m8j3oBxR43jfX4w&drmtype=0
CCTV8电视剧,http://txycdn.video.qq.com/1370436703.m3u8?time=1787369263&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIOFZVMP1uFbHR13NecK_8xMVwtrWY13ieuj9g_rsCzVsEGa6XlzMsE6hbZWc-6ujwRABcMs5MK5AGbbDruv0VFDuT92ztyVagOqlcMoPfPkaKB6GP96AFal41R6Nlb8SGbhyKVi4Q2rV0vgjfVX-u1xqmxxmt1aOKDxc0C_FIRNKM8qOd4P2oH6Kbri3APMRxINTn3LiC5JHZnDLtL2LfppNl2TID-xh_IpPHDMlGkLNuZ1eN1WKPZBTWDZpha8ig7A0fRpWsu90aqAjVFEc627JFa9wjQ7sKtYJlLw3eMQlk84eevT6LuY32h__mH2BYWS-CmObzhP3oogMlver5rBKMPuG8kAtyBS6-9RB3ks6LRtOwBnfGn44u8ZRR-GwrpD8WateI_0YuO4Wi6IBcCZjWuMMG-NPnpxJ0MByScF32poOavkLMF5G7A7FiP5_uRCZ4ciMU-pRnWY2WOFhXnSL-fasVLzp1lzdlw1IYganioavg8R7ge28GHQWzhMeZ0HzgvIJ85xnW1EgeWJjUQVRgMNrNBDx2kX-eE_pez0rxffE&drmtype=0
CCTV9纪录,http://txycdn.video.qq.com/1755788303.m3u8?time=1787369150&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIHcbE6vTmtmWuYjOADRHtb4XNLzwB509IJjPiVIQZDAVENIjmuV6gWgEXwNN0Qv3LIQBcPjWNgGcAZ3KSXTWeM7-_kLAZA_1GDTV-yproATDmUezPXO9qjjcIPLywmRdpRbmRSHOaxV0SwMxmKd-NV1MyO1TyvwBF8S5m620p6ih1B6YXjXyl9nkCQzO1G87IEQSAy7TN8MjFihuYkbhz5ws3UK9dc1oHhzIFrk2tYBTZ-PCl3dzFmgmWhC_XO3h4QK5cmsth15xEycbw-cLo7ziphxDSAXFnV5GIowLZgJQKeyPIMPt1GgrGbO9yPIAqn6s3poahP6M4KVL2SnOhk-wy55TlTNM-EoK-t3Q4rFRqS9aTscU2VIMZv-fFLlKK26c9juR91lcoyehV5Fff0P1KqTe8FCQ09HueMtY0wLkCVR_cl0MiXKaxcbtwGXCV4nRDG2Zer5K5SI1Wt9BGJvSybM2jqtl3B48F12TXnFknEYG5RcSuY5NYAnG46Rua2JwVTuNl8224_fUg8p9MdUrdIB1SEZxoS8toHjhvDbCULNW&drmtype=0
CCTV9纪录,http://play.kankanlive.com/live/1698423397390920.m3u8
CCTV5+体育赛事,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=becfeb51d2869cec38d3eae8e557d268&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260823053159&Channel_ID=0116_2600034600-99000-201600010097841&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=122.97.130.111&SecurityKey=20260823053159&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=9d432fc681277d2391cfe717c51a6bd8&sv=10004&ct=android
